"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"BM.GSR.TOTL.CD","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Imports of goods, services and primary income (current US$)","Imports of goods, services and primary income is the sum of goods (merchandise) imports, imports of (nonfactor) services and income (factor) payments. Data are in current U.S. dollars.","Imports of goods, services and income is the sum of goods (merchandise) imports, imports of (nonfactor) services and primary income (factor) payments. Data are in current U.S. dollars.","","Annual","","","Gap-filled total","","","","International Monetary Fund, Balance of Payments Statistics Yearbook.","","","","","","",
"BN.CAB.XOKA.CD","Economic Policy & Debt: Balance of payments: Current account: Balances","Current account balance (current US$)","Current account balance shows the difference between the sum of exports and income receivable and the sum of imports and income payable (exports and imports refer to both goods and services, while income refers to both primary and secondary income).","Current account balance shows the difference between the sum of exports and income receivable and the sum of imports and income payable (exports and imports refer to both goods and services, while income refers to both primary and secondary income).","","Annual","","","Sum","","","","International Monetary Fund, Balance of Payments Statistics Yearbook.","","","","","","",
"BX.GRT.EXTA.CD.DT","Economic Policy & Debt: Balance of payments: Reserves & other items","Grants, excluding technical cooperation (current US$)","Grants are defined as legally binding commitments that obligate a specific value of funds available for disbursement for which there is no repayment requirement. Data are in current U.S. dollars.","Grants are defined as legally binding commitments that obligate a specific value of funds available for disbursement for which there is no repayment requirement. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"BX.GRT.TECH.CD.DT","Economic Policy & Debt: Balance of payments: Reserves & other items","Technical cooperation grants (current US$)","Technical cooperation grants include free-standing technical cooperation grants, which are intended to finance the transfer of technical and managerial skills or of technology for the purpose of building up general national capacity without reference to any specific investment projects; and investment-related technical cooperation grants, which are provided to strengthen the capacity to execute specific investment projects. Data are in current U.S. dollars.","Technical cooperation grants include free-standing technical cooperation grants, which are intended to finance the transfer of technical and managerial skills or of technology for the purpose of building up general national capacity without reference to any specific investment projects; and investment-related technical cooperation grants, which are provided to strengthen the capacity to execute specific investment projects. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
"BX.GSR.TOTL.CD","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Exports of goods, services and primary income (current US$)","Exports of goods, services and primary income is the sum of goods (merchandise) exports, exports of (nonfactor) services and income (factor) receipts. Data are in current U.S. dollars.","Exports of goods, services and income is the sum of goods (merchandise) exports, exports of (nonfactor) services and primary income (factor) receipts. Data are in current U.S. dollars.","","Annual","","","Gap-filled total","","","","International Monetary Fund, Balance of Payments Statistics Yearbook.","","","","","","",
"BX.KLT.DINV.CD.DT","Economic Policy & Debt: Balance of payments: Capital & financial account","Foreign direct investment, net inflows in reporting economy (DRS, current US$)","Foreign direct investment is net inflows of investment to acquire a lasting interest in or management control over an enterprise operating in an economy other than that of the investor. It is the sum of equity capital, reinvested earnings, other long-term capital, and short-term capital, as shown in the balance of payments. Data are in current U.S. dollars.","Foreign direct investment (net) shows the net change in foreign investment in the reporting country. Foreign direct investment is defined as investment that is made to acquire a lasting management interest (usually of 10 percent of voting stock) in an enterprise operating in a country other than that of the investor (defined according to residency), the investor's purpose being an effective voice in the management of the enterprise. It is the sum of equity capital, reinvestment of earnings, other long-term capital, and short-term capital as shown in the balance of payments. This series shows net inflows in the reporting economy. Data are in current U.S. dollars.","","Annual","","","Sum","","","Note: Data starting from 2005 are based the sixth edition of the IMF's Balance of Payments Manual (BPM6).","International Monetary Fund, Balance of Payments, supplemented by data from United Nations Conference on Trade and Development and official national sources. Data starting from 2005 are based the sixth edition of the IMF's Balance of Payments Manual (BPM6).","","","","","","",
"BX.KLT.DREM.CD.DT","Economic Policy & Debt: Balance of payments: Capital & financial account","Primary income on FDI (current US$)","Primary income on foreign direct investment covers payments of direct investment income (debit side), which consist of income on equity (dividends, branch profits, and reinvested earnings) and income on the intercompany debt (interest). Data are in current U.S. dollars.","Primary income on foreign direct investment covers payments of direct investment income (debit side), which consist of income on equity (dividends, branch profits, and reinvested earnings) and income on the intercompany debt (interest). Data are in current U.S. dollars.","","Annual","","","Sum","","","","International Monetary Fund, Balance of Payments Statistics Yearbook.","","","","","","",
"BX.PEF.TOTL.CD.DT","Economic Policy & Debt: Balance of payments: Capital & financial account","Portfolio investment, equity (DRS, current US$)","Portfolio equity includes net inflows from equity securities other than those recorded as direct investment and including shares, stocks, depository receipts (American or global), and direct purchases of shares in local stock markets by foreign investors. Data are in current U.S. dollars.","Portfolio equity includes net inflows from equity securities other than those recorded as direct investment and including shares, stocks, depository receipts (American or global), and direct purchases of shares in local stock markets by foreign investors. Data are in current U.S. dollars.","","Annual","","","Sum","","","Note: Data starting from 2005 are based the sixth edition of the IMF's Balance of Payments Manual (BPM6).","International Monetary Fund, Balance of Payments Statistics Yearbook. Data starting from 2005 are based the sixth edition of the IMF's Balance of Payments Manual (BPM6).","","","","","","",
"BX.TRF.PWKR.CD.DT","Economic Policy & Debt: Balance of payments: Current account: Transfers","Personal transfers and compensation of employees, received (current US$)","Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual (BPM6): personal transfers and compensation of employees. Data are in current U.S. dollars.","Personal transfers consist of all current transfers in cash or in kind made or received by resident households to or from nonresident households. Personal transfers thus include all current transfers between resident and nonresident individuals. Compensation of employees refers to the income of border, seasonal, and other short-term workers who are employed in an economy where they are not resident and of residents employed by nonresident entities. Data are the sum of two items defined in the sixth edition of the IMF's Balance of Payments Manual(BPM6): personal transfers and compensation of employees. Data are in current U.S. dollars.","","Annual","","","Sum","","","Note: Data starting from 2005 are based the sixth edition of the IMF's Balance of Payments Manual (BPM6).","World Bank staff estimates based on IMF balance of payments data. Data starting from 2005 are based the sixth edition of the IMF's Balance of Payments Manual (BPM6).","","","","","","",
"DT.AMT.BLAT.CD","Economic Policy & Debt: External debt: Amortization","PPG, bilateral (AMT, current US$)","Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.","Bilateral debt includes loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars.","","Annual","","","Sum","","","","World Bank, International Debt Statistics.","","","","","","",
